track_id,track_name,album,artist,plist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
00B7TZ0Xawar6NZ00JFomN,Best Life (feat. Chance The Rapper),Invasion of Privacy,Cardi B,Matt Music,0.62,0.625,9,-7.438,1,0.553,0.287,0.0,0.314,0.665,167.911,audio_features,spotify:track:00B7TZ0Xawar6NZ00JFomN,https://api.spotify.com/v1/tracks/00B7TZ0Xawar6NZ00JFomN,https://api.spotify.com/v1/audio-analysis/00B7TZ0Xawar6NZ00JFomN,284856,4
00EuUujhYCbZ4IeUuyvCh0,Tina,Lucky Charms,Mint Juul,Matt Music,0.746,0.574,1,-13.037,1,0.221,0.016,0.0,0.107,0.834,135.032,audio_features,spotify:track:00EuUujhYCbZ4IeUuyvCh0,https://api.spotify.com/v1/tracks/00EuUujhYCbZ4IeUuyvCh0,https://api.spotify.com/v1/audio-analysis/00EuUujhYCbZ4IeUuyvCh0,187037,4
00HMEiBMDkbNCHLJL6zqVk,Christmas In Harlem,Christmas In Harlem,Kanye West,Matt Music,0.53,0.787,1,-4.769,0,0.183,0.254,0.0,0.125,0.816,85.893,audio_features,spotify:track:00HMEiBMDkbNCHLJL6zqVk,https://api.spotify.com/v1/tracks/00HMEiBMDkbNCHLJL6zqVk,https://api.spotify.com/v1/audio-analysis/00HMEiBMDkbNCHLJL6zqVk,236213,4
00YAhmYqomnoWd7ogDUtXU,I'm Back,I'm Back,T.I.,Matt Music,0.581,0.819,4,-3.834,0,0.317,0.141,0.0,0.325,0.561,154.287,audio_features,spotify:track:00YAhmYqomnoWd7ogDUtXU,https://api.spotify.com/v1/tracks/00YAhmYqomnoWd7ogDUtXU,https://api.spotify.com/v1/audio-analysis/00YAhmYqomnoWd7ogDUtXU,219888,4
00kYtO6UJq0q9aJ1n3iY1c,Girls @ (feat. Chance the Rapper),Girls @ (feat. Chance the Rapper),Joey Purp,Matt Music,0.939,0.579,4,-6.161,0,0.271,0.00835,4.78e-05,0.0914,0.635,110.031,audio_features,spotify:track:00kYtO6UJq0q9aJ1n3iY1c,https://api.spotify.com/v1/tracks/00kYtO6UJq0q9aJ1n3iY1c,https://api.spotify.com/v1/audio-analysis/00kYtO6UJq0q9aJ1n3iY1c,212774,4
00ko9WaS4jOX1kEk3gvHjf,Hot Shower,The Big Day,Chance the Rapper,Matt Music,0.899,0.509,9,-8.04,1,0.387,0.00157,0.0,0.0573,0.599,150.001,audio_features,spotify:track:00ko9WaS4jOX1kEk3gvHjf,https://api.spotify.com/v1/tracks/00ko9WaS4jOX1kEk3gvHjf,https://api.spotify.com/v1/audio-analysis/00ko9WaS4jOX1kEk3gvHjf,225924,4
00ogmsZiK6dB0QVUDBeehZ,Soliloquy,Cilvia Demo,Isaiah Rashad,Matt Music,0.361,0.793,0,-2.008,1,0.0507,0.0111,0.0,0.223,0.314,76.082,audio_features,spotify:track:00ogmsZiK6dB0QVUDBeehZ,https://api.spotify.com/v1/tracks/00ogmsZiK6dB0QVUDBeehZ,https://api.spotify.com/v1/audio-analysis/00ogmsZiK6dB0QVUDBeehZ,106463,4
01A7PEPSnmtixFPfB2UTal,Buy The World,Buy The World,Mike WiLL Made-It,Matt Music,0.793,0.631,11,-6.109,0,0.0998,0.0406,0.000478,0.207,0.231,119.971,audio_features,spotify:track:01A7PEPSnmtixFPfB2UTal,https://api.spotify.com/v1/tracks/01A7PEPSnmtixFPfB2UTal,https://api.spotify.com/v1/audio-analysis/01A7PEPSnmtixFPfB2UTal,226693,4
01ADMjKzsqzXYN7Ddtu1cl,Crave You,Down To Earth,Flight Facilities,Matt Music,0.924,0.485,1,-8.985,0,0.082,0.105,0.0,0.076,0.325,120.034,audio_features,spotify:track:01ADMjKzsqzXYN7Ddtu1cl,https://api.spotify.com/v1/tracks/01ADMjKzsqzXYN7Ddtu1cl,https://api.spotify.com/v1/audio-analysis/01ADMjKzsqzXYN7Ddtu1cl,234787,4
01Ch5LzVStxCFPKkT1xg6k,sweet sweet,Birds In The Trap Sing McKnight,Travis Scott,Matt Music,0.733,0.578,0,-5.245,0,0.0417,0.0859,1.19e-06,0.403,0.447,142.028,audio_features,spotify:track:01Ch5LzVStxCFPKkT1xg6k,https://api.spotify.com/v1/tracks/01Ch5LzVStxCFPKkT1xg6k,https://api.spotify.com/v1/audio-analysis/01Ch5LzVStxCFPKkT1xg6k,222318,4
